3.3014 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
93.0849 	EXP 	level_text: autoDraw = True
93.2282 	DATA 	Keypress: down
93.2351 	EXP 	question_text: autoDraw = False
93.2351 	EXP 	level_text: autoDraw = False
93.2351 	EXP 	level_text: text = 0.19952623149688736
93.2351 	EXP 	question_text: autoDraw = True
93.2351 	EXP 	level_text: autoDraw = True
93.3785 	DATA 	Keypress: down
93.3851 	EXP 	question_text: autoDraw = False
93.3851 	EXP 	level_text: autoDraw = False
93.3851 	EXP 	level_text: text = 0.17782794100389177
93.3851 	EXP 	question_text: autoDraw = True
93.3851 	EXP 	level_text: autoDraw = True
93.5286 	DATA 	Keypress: down
93.5354 	EXP 	question_text: autoDraw = False
93.5354 	EXP 	level_text: autoDraw = False
93.5354 	EXP 	level_text: text = 0.1584893192461109
93.5354 	EXP 	question_text: autoDraw = True
93.5354 	EXP 	level_text: autoDraw = True
93.6777 	DATA 	Keypress: down
93.6854 	EXP 	question_text: autoDraw = False
93.6854 	EXP 	level_text: autoDraw = False
93.6854 	EXP 	level_text: text = 0.14125375446227503
93.6854 	EXP 	question_text: autoDraw = True
93.6854 	EXP 	level_text: autoDraw = True
93.8126 	DATA 	Keypress: down
93.8188 	EXP 	question_text: autoDraw = False
93.8188 	EXP 	level_text: autoDraw = False
93.8188 	EXP 	level_text: text = 0.12589254117941637
93.8188 	EXP 	question_text: autoDraw = True
93.8188 	EXP 	level_text: autoDraw = True
94.2287 	DATA 	Keypress: down
94.2357 	EXP 	question_text: autoDraw = False
94.2357 	EXP 	level_text: autoDraw = False
94.2357 	EXP 	level_text: text = 0.11220184543019604
94.2357 	EXP 	question_text: autoDraw = True
94.2357 	EXP 	level_text: autoDraw = True
94.3796 	DATA 	Keypress: down
94.3859 	EXP 	question_text: autoDraw = False
94.3859 	EXP 	level_text: autoDraw = False
94.3859 	EXP 	level_text: text = 0.09999999999999974
