trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,sound_1.started,sound_1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,participant,input,session,date,expName,psychopyVersion,frameRate,
37,0,37,0,,,,,,,30.718602133282303,None,u,0.12379420001525432,30.716840799956117,None,30.716840799956117,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
38,0,38,0,,,,,,,30.878259833327803,None,u,0.11412330000894144,30.878717899962794,None,30.878717899962794,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
39,0,39,0,,,,,,,31.025218933304615,None,u,0.13045749999582767,31.024782499996945,None,31.024782499996945,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
40,0,40,0,,,,,,,31.198465633330244,None,u,0.11740719998488203,31.1987801999785,None,31.1987801999785,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
41,0,41,0,,,,,,,31.35910453328009,None,u,0.11650810000719503,31.356633199960925,None,31.356633199960925,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
42,0,42,0,,,,,,,31.50581023330645,None,u,0.9750956000061706,31.506122299993876,None,31.506122299993876,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
43,0,43,0,,,,,,,32.53226103331738,None,u,0.11209750000853091,32.531807699997444,None,32.531807699997444,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
44,0,44,0,,,,,,,32.67871093331681,None,u,0.09626180003397167,32.67757789994357,None,32.67757789994357,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
45,0,45,0,,,,,,,32.81249643333334,None,u,0.596173900004942,32.81351929996163,None,32.81351929996163,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
46,0,46,0,,,,,,,33.45270213328379,None,u,0.09547970001585782,33.453663799969945,None,33.453663799969945,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
47,0,47,0,,,,,,,33.586176333316445,None,u,0.10090069996658713,33.58565429999726,None,33.58565429999726,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
48,0,48,0,,,,,,,33.720130733280286,None,u,0.11125070002162829,33.72075049998239,None,33.72075049998239,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
49,0,49,0,,,,,,,33.881010833320516,None,u,0.09975850000046194,33.88135339994915,None,33.88135339994915,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
50,0,50,0,,,,,,,34.01369473333082,None,u,0.1104106999700889,34.01135249994695,None,34.01135249994695,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
51,0,51,0,,,,,,,34.15972013329932,None,u,0.10214719997020438,34.15728419995867,None,34.15728419995867,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
52,0,52,0,,,,,,,34.2935510333123,None,u,0.11925690004136413,34.29278829996474,None,34.29278829996474,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
53,0,53,0,,,,,,,34.45365933329643,None,u,0.11191999999573454,34.451905699970666,None,34.451905699970666,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
54,0,54,0,,,,,,,34.614030133300304,None,u,0.10339869995368645,34.61352889996488,None,34.61352889996488,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
55,0,55,0,,,,,,,34.760421833322226,None,u,0.09851199999684468,34.7585151999956,None,34.7585151999956,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
56,0,56,0,,,,,,,34.89378633327627,None,u,0.11055089998990297,34.893182199972216,None,34.893182199972216,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
57,0,57,0,,,,,,,35.0408072333162,None,u,0.11801630002446473,35.04016909998609,None,35.04016909998609,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
58,0,58,0,,,,,,,35.20117683331094,None,u,0.10495589999482036,35.20118929998716,None,35.20118929998716,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
59,0,59,0,,,,,,,35.36085133330974,None,u,0.09501889999955893,35.35967829998117,None,35.35967829998117,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
60,0,60,0,,,,,,,35.494252833312686,None,u,0.12385489995358512,35.49297959997784,None,35.49297959997784,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
61,0,61,0,,,,,,,35.65317483328593,None,u,0.11390619998564944,35.65338759997394,None,35.65338759997394,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
62,0,62,0,,,,,,,35.80007433333279,None,u,0.11272639996604994,35.801015999983065,None,35.801015999983065,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
63,0,63,0,,,,,,,35.96013283328696,None,u,0.10952290002023801,35.96004479995463,None,35.96004479995463,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
64,0,64,0,,,,,,,36.10648923333113,None,u,0.11792789999162778,36.105539199954364,None,36.105539199954364,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
65,0,65,0,,,,,,,36.266868633284076,None,u,0.10845800000242889,36.26618789997883,None,36.26618789997883,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
66,0,66,0,,,,,,,36.42688473332285,None,u,0.10182300000451505,36.42815239995252,None,36.42815239995252,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
67,0,67,0,,,,,,,36.57346143329826,None,u,0.1155371000058949,36.57275379996281,None,36.57275379996281,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
68,0,68,0,,,,,,,36.72033983330087,None,u,0.11562820000108331,36.719432099955156,None,36.719432099955156,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
69,0,69,0,,,,,,,36.86690863333254,None,u,0.126894400047604,36.866205299971625,None,36.866205299971625,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
70,0,70,0,,,,,,,37.02784123330687,None,u,0.11794680001912639,37.028248699964024,None,37.028248699964024,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
71,0,71,0,,,,,,,37.18784923328397,None,u,0.0944199999794364,37.18689709994942,None,37.18689709994942,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
72,0,72,0,,,,,,,37.32154943329127,None,u,0.10728409996954724,37.319452499970794,None,37.319452499970794,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
73,0,73,0,,,,,,,37.46726403327969,None,u,0.11293840000871569,37.46749469998758,None,37.46749469998758,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
74,0,74,0,,,,,,,37.6282184333036,None,u,0.10962730000028387,37.62836039997637,None,37.62836039997637,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
75,0,75,0,,,,,,,37.774657333277474,None,u,0.12962949997745454,37.774066099955235,None,37.774066099955235,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
